order_index,agent,execution_name,start_ts,end_ts,duration_s,num_tool_calls,num_kb_tool_calls,num_reflections,num_findings_registered,retry_count,num_empty_retries,hit_hard_cap,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,total_tokens
0,recon,Initial recon and login,2026-09-03T09:43:05.010317+00:00,2026-09-03T09:45:02.287151+00:00,117.276834,17,19,1,1,0,0,False,194988,4560,88845,0,199548
1,dast,XSS on query parameters,2026-09-03T09:45:16.540700+00:00,2026-09-03T09:46:28.032687+00:00,71.491987,7,13,1,1,0,0,False,135630,3307,85635,0,138937
2,dast,XSS on POST form fields,2026-09-03T09:46:35.401049+00:00,2026-09-03T09:50:26.008948+00:00,230.607899,21,28,3,0,0,0,False,616800,11531,498721,0,628331
3,dast,XSS on remaining endpoints,2026-09-03T09:50:37.195446+00:00,2026-09-03T09:53:51.004366+00:00,193.80892,18,30,4,0,0,0,False,695853,9104,583885,0,704957
4,dast,XSS on settings and create_post GET,2026-09-03T09:54:25.849767+00:00,2026-09-03T09:57:22.465563+00:00,176.615796,10,21,2,2,0,0,False,266097,10016,199627,0,276113
5,exploitation,Exploitation of users search XSS,2026-09-03T09:57:30.412427+00:00,2026-09-03T10:01:05.460097+00:00,215.04767,18,29,1,1,0,0,False,495879,10428,368167,0,506307
6,exploitation,Exploitation of create_post stored XSS,2026-09-03T10:01:13.705559+00:00,2026-09-03T10:04:29.171396+00:00,195.465837,13,33,2,1,0,0,False,373049,9977,265751,0,383026
7,exploitation,Exploitation of edit_post stored XSS,2026-09-03T10:04:36.036541+00:00,2026-09-03T10:09:30.277374+00:00,294.240833,20,35,3,2,0,0,False,795082,14757,650402,0,809839
8,exploitation,Exploitation of request_friend reflected XSS,2026-09-03T10:09:36.542967+00:00,2026-09-03T10:11:56.772468+00:00,140.229501,12,18,1,1,0,0,False,216822,7128,141767,0,223950
9,exploitation,Exploitation of settings name stored XSS,2026-09-03T10:12:03.751711+00:00,2026-09-03T10:15:19.346318+00:00,195.594607,17,39,4,0,0,0,False,567793,9916,479666,0,577709
10,exploitation,Exploitation of settings bio stored XSS,2026-09-03T10:15:26.873185+00:00,2026-09-03T10:21:14.575639+00:00,347.702454,16,37,4,0,0,0,False,706831,19476,585407,0,726307
