order_index,call_type,agent,execution_name,model_name,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,total_tokens,retry_count,has_content,tool_calls,tool_durations,ts
0,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,2930,391,945,0,3321,0,True,[],[],2026-09-03T09:43:05.008599+00:00
1,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3787,170,0,0,3957,0,True,"[""kb_list_dir""]",[0.004268],2026-09-03T09:43:08.882953+00:00
2,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3851,200,3783,0,4051,0,True,"[""register_credentials"", ""register_credentials""]","[0.332841, 0.001217]",2026-09-03T09:43:12.052637+00:00
3,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,4091,96,3847,0,4187,0,True,"[""spider"", ""spider""]","[3.656959, 0.001584]",2026-09-03T09:43:14.293961+00:00
4,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,7607,281,4087,0,7888,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[2.397129, 6.2e-05, 3.7e-05, 3.9e-05, 0.000977, 3.2e-05, 2.5e-05, 2.4e-05]",2026-09-03T09:43:23.280684+00:00
5,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,16078,395,7603,0,16473,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[2.255129, 7e-05, 2.9e-05, 1.9e-05, 0.001189, 3.9e-05, 1.6e-05, 1.8e-05]",2026-09-03T09:43:34.283745+00:00
6,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,22934,261,16074,0,23195,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[2.226689, 6.2e-05, 3.8e-05, 4.1e-05, 0.001455, 3.7e-05, 2.8e-05, 2.5e-05]",2026-09-03T09:43:42.906152+00:00
7,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,30525,216,22930,0,30741,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[1.661274, 5e-05, 3.3e-05, 0.001234, 2.2e-05, 2.2e-05]",2026-09-03T09:43:51.139898+00:00
8,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,35175,1837,30521,0,37012,0,True,"[""register_finding""]",[0.006506],2026-09-03T09:44:22.785875+00:00
9,reflect,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,34074,662,0,0,34736,0,True,[],[],2026-09-03T09:44:43.655771+00:00
10,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,36866,442,0,0,37308,0,True,[],[],2026-09-03T09:45:02.284772+00:00
