order_index,call_type,agent,execution_name,model_name,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,total_tokens,retry_count,has_content,tool_calls,tool_durations,ts
0,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,2993,323,945,0,3316,0,True,[],[],2026-09-02T20:44:44.836981+00:00
1,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3747,201,0,0,3948,0,True,"[""kb_list_dir""]",[0.003742],2026-09-02T20:44:49.343209+00:00
2,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3825,180,3743,0,4005,0,True,"[""spider"", ""spider""]","[2.097736, 0.001407]",2026-09-02T20:44:52.455940+00:00
3,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5204,357,3821,0,5561,0,True,"[""http_get"", ""http_get""]","[0.576052, 0.001003]",2026-09-02T20:45:00.512310+00:00
4,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,6413,242,5200,0,6655,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[1.670645, 3.9e-05, 1.3e-05, 0.001539, 2.4e-05, 1.2e-05]",2026-09-02T20:45:05.389116+00:00
5,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,8250,355,6409,0,8605,0,True,"[""register_credentials"", ""register_credentials""]","[0.259858, 0.00129]",2026-09-02T20:45:13.093274+00:00
6,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,8522,189,8246,0,8711,0,True,"[""spider"", ""spider""]","[2.078218, 0.001572]",2026-09-02T20:45:16.698982+00:00
7,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,12450,508,8518,0,12958,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[2.34241, 4.9e-05, 3.1e-05, 3.8e-05, 0.001634, 2.3e-05, 2.6e-05, 2.3e-05]",2026-09-02T20:45:27.679625+00:00
8,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,18637,277,12446,0,18914,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[2.229279, 7.2e-05, 4.3e-05, 2.5e-05, 0.001313, 4.2e-05, 2.4e-05, 1.8e-05]",2026-09-02T20:45:36.522568+00:00
9,reflect,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,23285,909,0,0,24194,0,True,[],[],2026-09-02T20:46:00.953344+00:00
10,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,26143,431,0,0,26574,0,False,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[2.233955, 6.2e-05, 4.4e-05, 2.9e-05, 0.0013, 3.8e-05, 3e-05, 1.5e-05]",2026-09-02T20:46:16.608871+00:00
11,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,32426,1641,26139,0,34067,0,True,"[""register_finding""]",[0.006416],2026-09-02T20:46:47.076580+00:00
12,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,33604,720,32422,0,34324,0,True,[],[],2026-09-02T20:46:59.502839+00:00
13,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3662,94,2989,0,3756,0,True,[],[],2026-09-02T20:47:01.576028+00:00
14,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,4816,783,3658,0,5599,0,True,[],[],2026-09-02T20:47:13.286098+00:00
15,agent,dast,DAST on login endpoint,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3336,166,0,0,3502,0,True,"[""kb_list_dir"", ""kb_list_dir"", ""kb_list_dir""]","[0.006071, 2.9e-05, 0.000858]",2026-09-02T20:47:17.277802+00:00
16,agent,dast,DAST on login endpoint,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3503,109,3332,0,3612,0,True,"[""kb_get"", ""kb_get""]","[0.005729, 0.000375]",2026-09-02T20:47:19.417894+00:00
17,agent,dast,DAST on login endpoint,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5516,455,3499,0,5971,0,True,"[""http_post"", ""http_post""]","[0.581624, 0.001313]",2026-09-02T20:47:26.943722+00:00
18,agent,dast,DAST on login endpoint,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,8643,155,5512,0,8798,0,True,"[""http_post"", ""http_post""]","[0.591355, 0.001517]",2026-09-02T20:47:31.179010+00:00
19,agent,dast,DAST on login endpoint,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,11571,169,8639,0,11740,0,True,"[""logout"", ""logout""]","[0.069162, 0.001707]",2026-09-02T20:47:35.617079+00:00
20,agent,dast,DAST on login endpoint,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,11746,132,11567,0,11878,0,True,"[""http_post"", ""http_post""]","[0.579069, 0.001493]",2026-09-02T20:47:38.267939+00:00
21,agent,dast,DAST on login endpoint,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,14668,390,11742,0,15058,0,True,"[""logout"", ""logout""]","[0.04487, 0.001856]",2026-09-02T20:47:46.029835+00:00
22,agent,dast,DAST on login endpoint,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,14850,244,14664,0,15094,0,True,"[""http_post"", ""http_post""]","[0.565522, 0.001469]",2026-09-02T20:47:50.351466+00:00
23,reflect,dast,DAST on login endpoint,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,16064,830,0,0,16894,0,True,[],[],2026-09-02T20:48:08.886882+00:00
24,agent,dast,DAST on login endpoint,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,18342,220,0,0,18562,0,True,"[""logout"", ""logout""]","[0.072084, 0.001451]",2026-09-02T20:48:18.531978+00:00
25,agent,dast,DAST on login endpoint,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,18506,86,18338,0,18592,0,True,"[""http_get"", ""http_get""]","[0.582792, 0.001712]",2026-09-02T20:48:20.524978+00:00
26,agent,dast,DAST on login endpoint,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,21387,1111,18502,0,22498,0,True,"[""http_post"", ""http_post""]","[0.587705, 0.001969]",2026-09-02T20:48:39.510058+00:00
27,agent,dast,DAST on login endpoint,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,24473,892,21383,0,25365,0,True,"[""kb_get""]",[0.005239],2026-09-02T20:48:55.272645+00:00
28,agent,dast,DAST on login endpoint,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,27386,1923,24469,0,29309,0,True,"[""http_post"", ""http_post""]","[0.572232, 0.001528]",2026-09-02T20:49:26.582384+00:00
