order_index,agent,execution_name,start_ts,end_ts,duration_s,num_tool_calls,num_kb_tool_calls,num_reflections,num_findings_registered,retry_count,num_empty_retries,hit_hard_cap,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,total_tokens
0,recon,Initial recon and authentication,2026-09-02T20:44:44.838893+00:00,2026-09-02T20:46:59.505629+00:00,134.666736,19,21,1,1,0,0,False,182506,6010,106944,0,188516
1,dast,DAST on login endpoint,2026-09-02T20:47:13.288787+00:00,2026-09-02T20:51:05.333110+00:00,232.044323,15,22,2,1,0,0,False,476247,11712,374110,0,487959
2,dast,DAST on signup endpoint,2026-09-02T20:51:09.059441+00:00,2026-09-02T20:57:15.351109+00:00,366.291668,13,20,2,1,0,0,False,422395,20338,311357,0,442733
3,dast,DAST on profile endpoint,2026-09-02T20:57:19.777834+00:00,2026-09-02T20:57:51.364559+00:00,31.586725,2,7,0,1,0,0,False,39135,1704,29482,0,40839
4,dast,DAST on users search endpoint,2026-09-02T20:57:55.376836+00:00,2026-09-02T20:58:23.173624+00:00,27.796788,2,8,0,1,0,0,False,39312,1477,30646,0,40789
5,dast,DAST on settings endpoint,2026-09-02T20:58:26.576142+00:00,2026-09-02T20:59:37.557018+00:00,70.980876,6,11,1,0,0,0,False,95791,3357,51023,0,99148
6,dast,DAST on create_post endpoint,2026-09-02T20:59:41.103444+00:00,2026-09-02T21:00:18.556781+00:00,37.453337,3,8,0,1,0,0,False,48390,2016,37237,0,50406
7,dast,DAST on edit_post endpoint,2026-09-02T21:00:22.335142+00:00,2026-09-02T21:01:53.139724+00:00,90.804582,5,14,1,2,0,0,False,133220,4759,97569,0,137979
8,dast,DAST on delete_post endpoint,2026-09-02T21:01:56.639886+00:00,2026-09-02T21:02:33.823854+00:00,37.183968,2,8,0,1,0,0,False,42698,2063,32350,0,44761
9,dast,DAST on friends endpoint,2026-09-02T21:02:38.287761+00:00,2026-09-02T21:04:05.292339+00:00,87.004578,8,14,1,1,0,0,False,125754,4335,82843,0,130089
10,dast,DAST on messages endpoint,2026-09-02T21:04:08.777529+00:00,2026-09-02T21:05:31.758999+00:00,82.98147,8,15,1,1,0,0,False,154890,3665,95064,0,158555
11,dast,DAST on direct_messages endpoint,2026-09-02T21:05:35.236582+00:00,2026-09-02T21:06:12.863574+00:00,37.626992,3,8,0,1,0,0,False,51019,2017,40474,0,53036
12,dast,DAST on friend-related POST endpoints,2026-09-02T21:06:16.500372+00:00,2026-09-02T21:08:41.817271+00:00,145.316899,11,30,3,2,0,0,False,427314,6847,353993,0,434161
13,dast,DAST on posts and direct_messages POST endpoints,2026-09-02T21:08:46.358052+00:00,2026-09-02T21:10:44.392595+00:00,118.034543,14,20,1,2,0,0,False,197296,5969,147640,0,203265
14,exploitation,Exploitation of profile and users SQLi,2026-09-02T21:10:55.519718+00:00,2026-09-02T21:24:30.305302+00:00,814.785584,102,117,3,3,0,0,False,3568292,23195,2970699,0,3591487
