order_index,call_type,agent,execution_name,model_name,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,total_tokens,retry_count,has_content,tool_calls,tool_durations,ts
0,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,2993,390,0,0,3383,0,True,[],[],2026-09-02T20:13:58.694956+00:00
1,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3767,223,0,0,3990,0,True,"[""kb_list_dir""]",[0.006186],2026-09-02T20:14:03.400472+00:00
2,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3838,171,3763,0,4009,0,True,"[""spider"", ""spider""]","[2.104099, 0.001604]",2026-09-02T20:14:06.251964+00:00
3,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5213,223,3834,0,5436,0,True,"[""http_get"", ""http_get""]","[0.594695, 0.00124]",2026-09-02T20:14:12.269375+00:00
4,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,6398,151,5209,0,6549,0,True,"[""http_get"", ""http_get""]","[0.649401, 0.001216]",2026-09-02T20:14:15.751128+00:00
5,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,7583,91,6394,0,7674,0,True,"[""http_get"", ""http_get""]","[0.545874, 0.00126]",2026-09-02T20:14:18.447072+00:00
6,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,8790,281,7579,0,9071,0,True,"[""register_credentials"", ""register_credentials""]","[0.231035, 0.001435]",2026-09-02T20:14:23.762776+00:00
7,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,9054,131,8786,0,9185,0,True,"[""spider"", ""spider""]","[2.578256, 0.002034]",2026-09-02T20:14:26.456609+00:00
8,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,12782,209,9050,0,12991,0,True,"[""http_get"", ""http_get""]","[0.641702, 0.001681]",2026-09-02T20:14:33.451131+00:00
9,reflect,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,13244,2437,0,0,15681,0,True,[],[],2026-09-02T20:15:14.292355+00:00
10,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,17317,70,1719,0,17387,0,False,"[""kb_list_dir""]",[0.005431],2026-09-02T20:15:20.604186+00:00
11,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,17365,936,17313,0,18301,0,True,"[""register_finding""]",[0.005767],2026-09-02T20:15:34.633260+00:00
12,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,18313,74,17361,0,18387,0,True,"[""kb_get""]",[0.004874],2026-09-02T20:15:36.483050+00:00
