order_index,call_type,agent,execution_name,model_name,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,total_tokens,retry_count,has_content,tool_calls,tool_durations,ts
0,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,2930,464,945,0,3394,0,True,[],[],2026-09-03T08:01:17.816560+00:00
1,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3793,191,0,0,3984,0,True,"[""kb_list_dir""]",[0.003741],2026-09-03T08:01:22.065904+00:00
2,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3856,402,3789,0,4258,0,True,"[""http_get"", ""http_get""]","[0.620814, 0.000968]",2026-09-03T08:01:28.019065+00:00
3,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5541,328,3852,0,5869,0,True,"[""register_credentials"", ""register_credentials""]","[0.336818, 0.000965]",2026-09-03T08:01:33.919297+00:00
4,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5793,117,5537,0,5910,0,True,"[""spider"", ""spider""]","[3.123078, 0.001646]",2026-09-03T08:01:36.468050+00:00
5,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,9488,356,5789,0,9844,0,True,"[""http_get"", ""http_get""]","[0.608724, 0.001042]",2026-09-03T08:01:45.921638+00:00
6,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,12649,343,9484,0,12992,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[1.743249, 5.6e-05, 3.6e-05, 0.000967, 3.6e-05, 2.6e-05]",2026-09-03T08:01:52.651015+00:00
7,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,17391,272,12645,0,17663,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[1.696936, 5.1e-05, 4.2e-05, 0.001142, 3.1e-05, 3e-05]",2026-09-03T08:02:00.211878+00:00
8,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,22764,185,17387,0,22949,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[1.667668, 6.7e-05, 3.2e-05, 0.001073, 4e-05, 1.6e-05]",2026-09-03T08:02:06.648168+00:00
9,reflect,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,25191,994,0,0,26185,0,True,[],[],2026-09-03T08:02:30.876913+00:00
