order_index,call_type,agent,execution_name,model_name,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,total_tokens,retry_count,has_content,tool_calls,tool_durations,ts
0,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,2993,365,945,0,3358,0,True,[],[],2026-09-02T22:19:33.721311+00:00
1,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3696,164,0,0,3860,0,True,"[""kb_list_dir""]",[0.004186],2026-09-02T22:19:37.557934+00:00
2,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3768,132,3692,0,3900,0,True,"[""http_get"", ""http_get""]","[0.604907, 0.000892]",2026-09-02T22:19:39.841087+00:00
3,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5419,293,3764,0,5712,0,True,"[""register_credentials"", ""register_credentials""]","[0.30993, 0.001187]",2026-09-02T22:19:45.270373+00:00
4,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5680,101,5415,0,5781,0,True,"[""spider"", ""spider""]","[3.20037, 0.001238]",2026-09-02T22:19:47.547998+00:00
5,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,9313,412,5676,0,9725,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[1.746367, 6e-05, 8e-05, 0.001129, 3.3e-05, 4.7e-05]",2026-09-02T22:19:57.869454+00:00
6,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,15562,297,9309,0,15859,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[2.264378, 5.7e-05, 3.7e-05, 3.4e-05, 0.001279, 3.7e-05, 2.2e-05, 2.6e-05]",2026-09-02T22:20:06.132085+00:00
7,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,22781,260,15558,0,23041,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[2.28275, 5.5e-05, 3.8e-05, 3.7e-05, 0.001197, 2.3e-05, 3.1e-05, 2.8e-05]",2026-09-02T22:20:14.795576+00:00
8,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,29663,81,22777,0,29744,0,True,"[""kb_list_dir""]",[0.004168],2026-09-02T22:20:20.923124+00:00
9,reflect,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,27404,756,0,0,28160,0,True,[],[],2026-09-02T22:20:40.659955+00:00
10,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,29918,1690,0,0,31608,0,True,"[""register_finding""]",[0.005393],2026-09-02T22:21:15.327739+00:00
11,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,31106,74,29914,0,31180,0,True,"[""kb_get""]",[0.004092],2026-09-02T22:21:17.284470+00:00
12,agent,recon,Initial recon and authentication setup,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,32271,601,31102,0,32872,0,True,[],[],2026-09-02T22:21:27.154570+00:00
13,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3660,93,945,0,3753,0,True,[],[],2026-09-02T22:21:29.977565+00:00
14,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,4828,516,3656,0,5344,0,True,[],[],2026-09-02T22:21:37.760612+00:00
15,agent,dast,DAST on profile username parameter,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3312,212,0,0,3524,0,True,"[""kb_list_dir"", ""kb_list_dir"", ""kb_list_dir""]","[0.006852, 0.000226, 0.00061]",2026-09-02T22:21:42.171826+00:00
16,agent,dast,DAST on profile username parameter,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3482,92,3308,0,3574,0,False,"[""kb_get"", ""kb_get""]","[0.004858, 4.7e-05]",2026-09-02T22:21:44.035739+00:00
17,agent,dast,DAST on profile username parameter,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5489,221,3478,0,5710,0,True,"[""login"", ""login""]","[0.100145, 0.001481]",2026-09-02T22:21:47.930263+00:00
18,agent,dast,DAST on profile username parameter,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5650,195,5485,0,5845,0,True,"[""http_get"", ""http_get""]","[0.558906, 0.00091]",2026-09-02T22:21:51.242902+00:00
19,agent,dast,DAST on profile username parameter,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,7333,249,5646,0,7582,0,True,"[""http_get"", ""http_get""]","[0.57369, 0.000936]",2026-09-02T22:21:56.114720+00:00
20,agent,dast,DAST on profile username parameter,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,9346,538,7329,0,9884,0,True,"[""register_finding""]",[0.005622],2026-09-02T22:22:05.032249+00:00
21,agent,dast,DAST on profile username parameter,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,9742,73,9342,0,9815,0,True,"[""kb_get""]",[0.004848],2026-09-02T22:22:06.677550+00:00
22,agent,dast,DAST on profile username parameter,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,10016,452,9738,0,10468,0,True,[],[],2026-09-02T22:22:13.538667+00:00
23,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5356,259,4824,0,5615,0,True,[],[],2026-09-02T22:22:17.786229+00:00
24,agent,dast,DAST on users search and friends parameters,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3307,242,1264,0,3549,0,True,"[""kb_list_dir"", ""kb_list_dir"", ""kb_list_dir""]","[0.007313, 0.000252, 0.000219]",2026-09-02T22:22:22.195617+00:00
25,agent,dast,DAST on users search and friends parameters,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3484,119,3303,0,3603,0,False,"[""kb_get"", ""kb_get"", ""kb_get""]","[0.005832, 0.000383, 0.000209]",2026-09-02T22:22:24.401235+00:00
26,agent,dast,DAST on users search and friends parameters,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5743,323,3480,0,6066,0,True,"[""login"", ""login""]","[0.067642, 0.000956]",2026-09-02T22:22:29.984998+00:00
27,agent,dast,DAST on users search and friends parameters,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5941,334,5739,0,6275,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[1.660926, 6.5e-05, 3.8e-05, 0.001134, 3.9e-05, 2.5e-05]",2026-09-02T22:22:35.167872+00:00
28,agent,dast,DAST on users search and friends parameters,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,11591,838,5937,0,12429,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get""]","[1.124313, 5.5e-05, 0.00105, 3.7e-05]",2026-09-02T22:22:50.457176+00:00
29,agent,dast,DAST on users search and friends parameters,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,15493,893,11587,0,16386,0,True,"[""register_finding"", ""register_finding""]","[0.005847, 0.000596]",2026-09-02T22:23:05.752714+00:00
30,agent,dast,DAST on users search and friends parameters,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,16273,353,15489,0,16626,0,True,[],[],2026-09-02T22:23:11.498047+00:00
31,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5909,247,5352,0,6156,0,True,[],[],2026-09-02T22:23:15.621696+00:00
32,agent,dast,DAST on posts endpoints,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3355,200,0,0,3555,0,True,"[""kb_list_dir"", ""kb_list_dir"", ""kb_list_dir""]","[0.006597, 2.9e-05, 0.00048]",2026-09-02T22:23:19.868047+00:00
33,agent,dast,DAST on posts endpoints,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3550,89,3351,0,3639,0,False,"[""kb_get"", ""kb_get""]","[0.005112, 0.000329]",2026-09-02T22:23:21.654556+00:00
34,agent,dast,DAST on posts endpoints,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5557,126,3546,0,5683,0,True,"[""kb_get"", ""kb_get"", ""kb_get""]","[0.005895, 0.000381, 3.3e-05]",2026-09-02T22:23:24.256263+00:00
35,agent,dast,DAST on posts endpoints,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,6426,306,5553,0,6732,0,True,"[""login"", ""login""]","[0.06056, 0.001064]",2026-09-02T22:23:29.221836+00:00
36,agent,dast,DAST on posts endpoints,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,6658,165,6422,0,6823,0,True,"[""http_get"", ""http_get""]","[0.553729, 0.000992]",2026-09-02T22:23:32.148983+00:00
37,agent,dast,DAST on posts endpoints,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,7462,158,6654,0,7620,0,True,"[""http_get"", ""http_get""]","[0.586362, 0.000943]",2026-09-02T22:23:35.572710+00:00
38,agent,dast,DAST on posts endpoints,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,9358,484,7458,0,9842,0,True,"[""register_finding""]",[0.005961],2026-09-02T22:23:43.771949+00:00
39,agent,dast,DAST on posts endpoints,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,9743,131,9354,0,9874,0,True,"[""http_get"", ""http_get""]","[0.581308, 0.001014]",2026-09-02T22:23:46.255809+00:00
