order_index,call_type,agent,execution_name,model_name,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,total_tokens,retry_count,has_content,tool_calls,tool_durations,ts
0,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,2993,372,945,0,3365,0,True,[],[],2026-09-02T23:13:31.315240+00:00
1,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3739,154,0,0,3893,0,True,"[""kb_list_dir""]",[0.004383],2026-09-02T23:13:35.063007+00:00
2,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3814,157,3735,0,3971,0,True,"[""spider"", ""spider""]","[2.120136, 0.001219]",2026-09-02T23:13:37.735985+00:00
3,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5170,402,3810,0,5572,0,True,"[""register_credentials"", ""register_credentials""]","[0.306218, 0.001057]",2026-09-02T23:13:46.183309+00:00
4,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5449,136,5166,0,5585,0,True,"[""spider"", ""spider""]","[2.590665, 0.001048]",2026-09-02T23:13:48.971859+00:00
5,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,9029,192,5445,0,9221,0,True,"[""http_get"", ""http_get""]","[0.6576, 0.001017]",2026-09-02T23:13:55.611706+00:00
6,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,11818,277,9025,0,12095,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[2.256644, 6.6e-05, 4e-05, 4e-05, 0.001646, 3.9e-05, 2.5e-05, 2.5e-05]",2026-09-02T23:14:01.492733+00:00
7,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,21378,255,11814,0,21633,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[2.201456, 6.2e-05, 5.1e-05, 4.2e-05, 0.001084, 4.1e-05, 2.7e-05, 2.9e-05]",2026-09-02T23:14:10.707581+00:00
8,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,30003,263,21374,0,30266,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[2.21204, 5.9e-05, 4e-05, 2.2e-05, 0.001235, 3.4e-05, 2.4e-05, 1.2e-05]",2026-09-02T23:14:20.145280+00:00
9,reflect,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,31648,1016,0,0,32664,0,True,[],[],2026-09-02T23:14:47.711983+00:00
10,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,34493,62,0,0,34555,0,False,"[""kb_get""]",[0.004979],2026-09-02T23:14:59.920428+00:00
11,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,34556,1541,34489,0,36097,0,True,"[""register_finding""]",[0.006259],2026-09-02T23:15:24.011210+00:00
12,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,36103,89,34552,0,36192,0,True,"[""kb_list_dir""]",[0.00485],2026-09-02T23:15:26.320948+00:00
13,agent,recon,Initial recon and login,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,36191,720,36099,0,36911,0,True,[],[],2026-09-02T23:15:37.862399+00:00
14,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3734,91,2989,0,3825,0,True,[],[],2026-09-02T23:15:39.909635+00:00
15,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5266,891,3730,0,6157,0,True,[],[],2026-09-02T23:15:52.996442+00:00
16,agent,dast,DAST query params profile users friends direct_messages requests,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3421,206,0,0,3627,0,True,"[""kb_list_dir"", ""kb_list_dir"", ""kb_list_dir""]","[0.007011, 2.9e-05, 0.000375]",2026-09-02T23:15:57.383407+00:00
17,agent,dast,DAST query params profile users friends direct_messages requests,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3598,98,3417,0,3696,0,True,"[""kb_get"", ""kb_get""]","[0.00555, 5.3e-05]",2026-09-02T23:15:59.290373+00:00
18,agent,dast,DAST query params profile users friends direct_messages requests,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5990,73,3594,0,6063,0,True,"[""login"", ""login""]","[0.076648, 0.000983]",2026-09-02T23:16:01.461927+00:00
19,agent,dast,DAST query params profile users friends direct_messages requests,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,6145,520,5986,0,6665,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[2.86165, 4.9e-05, 2.5e-05, 2.4e-05, 2.2e-05, 0.001635, 4e-05, 2.1e-05, 1.9e-05, 1.9e-05]",2026-09-02T23:16:09.324930+00:00
20,agent,dast,DAST query params profile users friends direct_messages requests,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,12212,516,6141,0,12728,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[1.743412, 3.2e-05, 3.2e-05, 0.000986, 1.9e-05, 2.8e-05]",2026-09-02T23:16:21.571658+00:00
